VIMP,,L_PASS,L_1,,L_PLUR;Vams-1-p,Vmms-1-p
VIMP,,L_PASS,L_2,,L_PLUR;Vams-2-p,Vmms-2-p
VIMP,,L_PASS,L_2,,L_SING;Vams-2-s,Vmms-2-s
VIMP,,L_PRES,L_1,,L_PLUR;Vamp-1-p,Vmmp-1-p,Vcmpt1-p
VIMP,,L_PRES,L_2,,L_PLUR;Vamp-2-p,Vmmp-2-p,Vcmpt2-p
VIMP,,L_PRES,L_2,,L_SING;Vamp-2-s,Vmmp-2-s,Vcmpt2-s
VIMP,L_PRONOMINAL,L_PASS,L_1,,L_PLUR;Vpmsp1-p
VIMP,L_PRONOMINAL,L_PASS,L_2,,L_PLUR;Vpmsp2-p
VIMP,L_PRONOMINAL,L_PASS,L_2,,L_SING;Vpmsp2-s
VIMP,L_PRONOMINAL,L_PRES,L_1,,L_PLUR;Vpmpp1-p
VIMP,L_PRONOMINAL,L_PRES,L_2,,L_PLUR;Vpmpp2-p
VIMP,L_PRONOMINAL,L_PRES,L_2,,L_SING;Vpmpp2-s
VIMP,L_TRANS,L_PASS,L_1,,L_PLUR;Vpmst1-p
VIMP,L_TRANS,L_PASS,L_2,,L_PLUR;Vpmst2-p
VIMP,L_TRANS,L_PASS,L_2,,L_SING;Vpmst2-s
VIMP,L_TRANS,L_PRES,L_1,,L_PLUR;Vpmpt1-p
VIMP,L_TRANS,L_PRES,L_2,,L_PLUR;Vpmpt2-p
VIMP,L_TRANS,L_PRES,L_2,,L_SING;Vpmpt2-s
VINF,L_IMPERS,L_PASS,,,;Vpnsm---
VINF,L_IMPERS,L_PRES,,,;Vpnpm---
VINF,L_INTRANS,L_PASS,,,;Vpnsi---
VINF,L_INTRANS,L_PRES,,,;Vpnpi---
VINF,,L_PASS,,,;Vans----,Vmns----,Vcnst---
VINF,,L_PRES,,,;Vanp----,Vmnp----,Vcnpt---
VINF,L_PRONOMINAL,L_PASS,,,;Vpnsp---
VINF,L_PRONOMINAL,L_PRES,,,;Vpnpp---
VINF,L_TRANS,L_PASS,,,;Vpnst---
VINF,L_TRANS,L_PRES,,,;Vpnpt---
V,,L_COND_PASS,L_1,,L_PLUR;Vaio-1-p,Vmio-1-p,Vciot1-p
V,,L_COND_PASS,L_1,,L_SING;Vaio-1-s,Vmio-1-s,Vciot1-s
V,,L_COND_PASS,L_2,,L_PLUR;Vaio-2-p,Vmio-2-p,Vciot2-p
V,,L_COND_PASS,L_2,,L_SING;Vaio-2-s,Vmio-2-s,Vciot2-s
V,,L_COND_PASS,L_3,,L_PLUR;Vaio-3-p,Vmio-3-p,Vciot3-p
V,,L_COND_PASS,L_3,,L_SING;Vaio-3-s,Vmio-3-s,Vciot3-s
V,,L_COND_PRES,L_1,,L_PLUR;Vaic-1-p,Vmic-1-p,Vcict1-p
V,,L_COND_PRES,L_1,,L_SING;Vaic-1-s,Vmic-1-s,Vcict1-s
V,,L_COND_PRES,L_2,,L_PLUR;Vaic-2-p,Vmic-2-p,Vcict2-p
V,,L_COND_PRES,L_2,,L_SING;Vaic-2-s,Vmic-2-s,Vcict2-s
V,,L_COND_PRES,L_3,,L_PLUR;Vaic-3-p,Vmic-3-p,Vcict3-p
V,,L_COND_PRES,L_3,,L_SING;Vaic-3-s,Vmic-3-s,Vcict3-s
V,,L_FUTUR_ANT,L_1,,L_PLUR;Vaiu-1-p,Vmiu-1-p,Vciut1-p
V,,L_FUTUR_ANT,L_1,,L_SING;Vaiu-1-s,Vmiu-1-s,Vciut1-s
V,,L_FUTUR_ANT,L_2,,L_PLUR;Vaiu-2-p,Vmiu-2-p,Vciut2-p
V,,L_FUTUR_ANT,L_2,,L_SING;Vaiu-2-s,Vmiu-2-s,Vciut2-s
V,,L_FUTUR_ANT,L_3,,L_PLUR;Vaiu-3-p,Vmiu-3-p,Vciut3-p
V,,L_FUTUR_ANT,L_3,,L_SING;Vaiu-3-s,Vmiu-3-s,Vciut3-s
V,,L_FUTUR,L_1,,L_PLUR;Vaif-1-p,Vmif-1-p,Vcift1-p
V,,L_FUTUR,L_1,,L_SING;Vaif-1-s,Vmif-1-s,Vcift1-s
V,,L_FUTUR,L_2,,L_PLUR;Vaif-2-p,Vmif-2-p,Vcift2-p
V,,L_FUTUR,L_2,,L_SING;Vaif-2-s,Vmif-2-s,Vcift2-s
V,,L_FUTUR,L_3,,L_PLUR;Vaif-3-p,Vmif-3-p,Vcift3-p
V,,L_FUTUR,L_3,,L_SING;Vaif-3-s,Vmif-3-s,Vcift3-s
V,L_IMPERS,L_COND_PASS,L_1,,L_PLUR;Vpiom1-p
V,L_IMPERS,L_COND_PASS,L_1,,L_SING;Vpiom1-s
V,L_IMPERS,L_COND_PASS,L_2,,L_PLUR;Vpiom2-p
V,L_IMPERS,L_COND_PASS,L_2,,L_SING;Vpiom2-s
V,L_IMPERS,L_COND_PASS,L_3,,L_PLUR;Vpiom3-p
V,L_IMPERS,L_COND_PASS,L_3,,L_SING;Vpiom3-s
V,L_IMPERS,L_COND_PRES,L_1,,L_PLUR;Vpicm1-p
V,L_IMPERS,L_COND_PRES,L_1,,L_SING;Vpicm1-s
V,L_IMPERS,L_COND_PRES,L_2,,L_PLUR;Vpicm2-p
V,L_IMPERS,L_COND_PRES,L_2,,L_SING;Vpicm2-s
V,L_IMPERS,L_COND_PRES,L_3,,L_PLUR;Vpicm3-p
V,L_IMPERS,L_COND_PRES,L_3,,L_SING;Vpicm3-s
V,L_IMPERS,L_FUTUR_ANT,L_1,,L_PLUR;Vpium1-p
V,L_IMPERS,L_FUTUR_ANT,L_1,,L_SING;Vpium1-s
V,L_IMPERS,L_FUTUR_ANT,L_2,,L_PLUR;Vpium2-p
V,L_IMPERS,L_FUTUR_ANT,L_2,,L_SING;Vpium2-s
V,L_IMPERS,L_FUTUR_ANT,L_3,,L_PLUR;Vpium3-p
V,L_IMPERS,L_FUTUR_ANT,L_3,,L_SING;Vpium3-s
V,L_IMPERS,L_FUTUR,L_1,,L_PLUR;Vpifm1-p
V,L_IMPERS,L_FUTUR,L_1,,L_SING;Vpifm1-s
V,L_IMPERS,L_FUTUR,L_2,,L_PLUR;Vpifm2-p
V,L_IMPERS,L_FUTUR,L_2,,L_SING;Vpifm2-s
V,L_IMPERS,L_FUTUR,L_3,,L_PLUR;Vpifm3-p
V,L_IMPERS,L_FUTUR,L_3,,L_SING;Vpifm3-s
V,L_IMPERS,L_IMPFT,L_1,,L_PLUR;Vpiim1-p
V,L_IMPERS,L_IMPFT,L_1,,L_SING;Vpiim1-s
V,L_IMPERS,L_IMPFT,L_2,,L_PLUR;Vpiim2-p
V,L_IMPERS,L_IMPFT,L_2,,L_SING;Vpiim2-s
V,L_IMPERS,L_IMPFT,L_3,,L_PLUR;Vpiim3-p
V,L_IMPERS,L_IMPFT,L_3,,L_SING;Vpiim3-s
V,L_IMPERS,L_PASS_ANT,L_1,,L_PLUR;Vpinm1-p
V,L_IMPERS,L_PASS_ANT,L_1,,L_SING;Vpinm1-s
V,L_IMPERS,L_PASS_ANT,L_2,,L_PLUR;Vpinm2-p
V,L_IMPERS,L_PASS_ANT,L_2,,L_SING;Vpinm2-s
V,L_IMPERS,L_PASS_ANT,L_3,,L_PLUR;Vpinm3-p
V,L_IMPERS,L_PASS_ANT,L_3,,L_SING;Vpinm3-s
V,L_IMPERS,L_PASS,L_1,,L_PLUR;Vpism1-p
V,L_IMPERS,L_PASS,L_1,,L_SING;Vpism1-s
V,L_IMPERS,L_PASS,L_2,,L_PLUR;Vpism2-p
V,L_IMPERS,L_PASS,L_2,,L_SING;Vpism2-s
V,L_IMPERS,L_PASS,L_3,,L_PLUR;Vpism3-p
V,L_IMPERS,L_PASS,L_3,,L_SING;Vpism3-s
V,L_IMPERS,L_PC,L_1,,L_PLUR;Vpiam1-p
V,L_IMPERS,L_PC,L_1,,L_SING;Vpiam1-s
V,L_IMPERS,L_PC,L_2,,L_PLUR;Vpiam2-p
V,L_IMPERS,L_PC,L_2,,L_SING;Vpiam2-s
