NONE_1	L_NONE_1
Andk4	L_GE_ADJECTIF_PARTICIPE_PRESENT_DETACHE_COMPARATIF_ACCUSATIF
Ando1	L_GE_ADJECTIF_PARTICIPE_PRESENT_DETACHE_POSITIF_NOMINATIF
Ando2	L_GE_ADJECTIF_PARTICIPE_PRESENT_DETACHE_POSITIF_GENITIF
Ando3	L_GE_ADJECTIF_PARTICIPE_PRESENT_DETACHE_POSITIF_DATIF
Ando4	L_GE_ADJECTIF_PARTICIPE_PRESENT_DETACHE_POSITIF_ACCUSATIF
Ands1	L_GE_ADJECTIF_PARTICIPE_PRESENT_DETACHE_SUPERLATIF_NOMINATIF
Ands2	L_GE_ADJECTIF_PARTICIPE_PRESENT_DETACHE_SUPERLATIF_GENITIF
Ands3	L_GE_ADJECTIF_PARTICIPE_PRESENT_DETACHE_SUPERLATIF_DATIF
Ands4	L_GE_ADJECTIF_PARTICIPE_PRESENT_DETACHE_SUPERLATIF_ACCUSATIF
Anek-	L_GE_ADJECTIF_PARTICIPE_PRESENT_PREDICATIF_ELLIPSE_VERBALE_COMPARATIF
Aneo-	L_GE_ADJECTIF_PARTICIPE_PRESENT_PREDICATIF_ELLIPSE_VERBALE_POSITIF
Anes-	L_GE_ADJECTIF_PARTICIPE_PRESENT_PREDICATIF_ELLIPSE_VERBALE_SUPERLATIF
Anhk1	L_GE_ADJECTIF_PARTICIPE_PRESENT_APPOSITION_A_GN_COMPARATIF_NOMINATIF
Anhk2	L_GE_ADJECTIF_PARTICIPE_PRESENT_APPOSITION_A_GN_COMPARATIF_GENITIF
Anhk3	L_GE_ADJECTIF_PARTICIPE_PRESENT_APPOSITION_A_GN_COMPARATIF_DATIF
Anhk4	L_GE_ADJECTIF_PARTICIPE_PRESENT_APPOSITION_A_GN_COMPARATIF_ACCUSATIF
Anho1	L_GE_ADJECTIF_PARTICIPE_PRESENT_APPOSITION_A_GN_POSITIF_NOMINATIF
Anho2	L_GE_ADJECTIF_PARTICIPE_PRESENT_APPOSITION_A_GN_POSITIF_GENITIF
Anho3	L_GE_ADJECTIF_PARTICIPE_PRESENT_APPOSITION_A_GN_POSITIF_DATIF
Anho4	L_GE_ADJECTIF_PARTICIPE_PRESENT_APPOSITION_A_GN_POSITIF_ACCUSATIF
Anhs1	L_GE_ADJECTIF_PARTICIPE_PRESENT_APPOSITION_A_GN_SUPERLATIF_NOMINATIF
Anhs2	L_GE_ADJECTIF_PARTICIPE_PRESENT_APPOSITION_A_GN_SUPERLATIF_GENITIF
Anhs3	L_GE_ADJECTIF_PARTICIPE_PRESENT_APPOSITION_A_GN_SUPERLATIF_DATIF
Anhs4	L_GE_ADJECTIF_PARTICIPE_PRESENT_APPOSITION_A_GN_SUPERLATIF_ACCUSATIF
Anpk-	L_GE_ADJECTIF_PARTICIPE_PRESENT_PREDICATIF_COMPARATIF
Anpo-	L_GE_ADJECTIF_PARTICIPE_PRESENT_PREDICATIF_POSITIF
Anps-	L_GE_ADJECTIF_PARTICIPE_PRESENT_PREDICATIF_SUPERLATIF
Aodo1	L_GE_ADJECTIF_ORDINAL_DETACHE_POSITIF_NOMINATIF
Aodo2	L_GE_ADJECTIF_ORDINAL_DETACHE_POSITIF_GENITIF
Aodo3	L_GE_ADJECTIF_ORDINAL_DETACHE_POSITIF_DATIF
Aodo4	L_GE_ADJECTIF_ORDINAL_DETACHE_POSITIF_ACCUSATIF
Aoeo-	L_GE_ADJECTIF_ORDINAL_PREDICATIF_ELLIPSE_VERBALE_POSITIF
Aoho1	L_GE_ADJECTIF_ORDINAL_APPOSITION_A_GN_POSITIF_NOMINATIF
Aoho2	L_GE_ADJECTIF_ORDINAL_APPOSITION_A_GN_POSITIF_GENITIF
Aoho3	L_GE_ADJECTIF_ORDINAL_APPOSITION_A_GN_POSITIF_DATIF
Aoho4	L_GE_ADJECTIF_ORDINAL_APPOSITION_A_GN_POSITIF_ACCUSATIF
Aopo-	L_GE_ADJECTIF_ORDINAL_PREDICATIF_POSITIF
VC1	L_GE_VERBE_DANS_MOT_COMPOSE_POSITION_INITIALE
VC2	L_GE_VERBE_DANS_MOT_COMPOSE_POSITION_INTERMEDIAIRE
VC3	L_GE_VERBE_DANS_MOT_COMPOSE_POSITION_FINALE
Va-2	L_GE_VERBE_DE_PREDICATION_A_L'ACCUSATIF_IMPERATIF_2E_PERSONNE_SG/PL
Va-3	L_GE_VERBE_DE_PREDICATION_A_L'ACCUSATIF_IMPERATIF_1E/3E_PERSONNE_PL
Va-i	L_GE_VERBE_DE_PREDICATION_A_L'ACCUSATIF_INFINITIF_AVEC_ZU_INCORPORE
Va-n	L_GE_VERBE_DE_PREDICATION_A_L'ACCUSATIF_INFINITIF
Va-r	L_GE_VERBE_DE_PREDICATION_A_L'ACCUSATIF_PARTICIPE_PRESENT
Va-s	L_GE_VERBE_DE_PREDICATION_A_L'ACCUSATIF_PARTICIPE_PASSE
Va-z	L_GE_VERBE_DE_PREDICATION_A_L'ACCUSATIF_INFINITIF_AVEC_ZU
Vapj	L_GE_VERBE_DE_PREDICATION_A_L'ACCUSATIF_PHR_PRINCIPALE_INDICATIF/KONJUNKTIF
Vasj	L_GE_VERBE_DE_PREDICATION_A_L'ACCUSATIF_PHR_SUBORDONNEE_INDICATIF/KONJUNKTIF
Vatj	L_GE_VERBE_DE_PREDICATION_A_L'ACCUSATIF_PHR_INTERROG_TOTALE_INDICATIF/KONJUNKTIF
Vawj	L_GE_VERBE_DE_PREDICATION_A_L'ACCUSATIF_PHR_INTERROG_WH_INDICATIF/KONJUNKTIF
Vc-2	L_GE_VERBE_DE_COPULE_IMPERATIF_2E_PERSONNE_SG/PL
Vc-3	L_GE_VERBE_DE_COPULE_IMPERATIF_1E/3E_PERSONNE_PL
Vc-i	L_GE_VERBE_DE_COPULE_INFINITIF_AVEC_ZU_INCORPORE
Vc-n	L_GE_VERBE_DE_COPULE_INFINITIF
Vc-r	L_GE_VERBE_DE_COPULE_PARTICIPE_PRESENT
Vc-s	L_GE_VERBE_DE_COPULE_PARTICIPE_PASSE
Vc-z	L_GE_VERBE_DE_COPULE_INFINITIF_AVEC_ZU
Vcpj	L_GE_VERBE_DE_COPULE_PHR_PRINCIPALE_INDICATIF/KONJUNKTIF
Vcsj	L_GE_VERBE_DE_COPULE_PHR_SUBORDONNEE_INDICATIF/KONJUNKTIF
Vctj	L_GE_VERBE_DE_COPULE_PHR_INTERROG_TOTALE_INDICATIF/KONJUNKTIF
Vcwj	L_GE_VERBE_DE_COPULE_PHR_INTERROG_WH_INDICATIF/KONJUNKTIF
Vf-2	L_GE_VERBE_AUXILIAIRE_PASSIF_IMPERATIF_2E_PERSONNE_SG/PL
Vf-3	L_GE_VERBE_AUXILIAIRE_PASSIF_IMPERATIF_1E/3E_PERSONNE_PL
Vf-n	L_GE_VERBE_AUXILIAIRE_PASSIF_INFINITIF
Vf-r	L_GE_VERBE_AUXILIAIRE_PASSIF_PARTICIPE_PRESENT
Vf-s	L_GE_VERBE_AUXILIAIRE_PASSIF_PARTICIPE_PASSE
Vf-z	L_GE_VERBE_AUXILIAIRE_PASSIF_INFINITIF_AVEC_ZU
Vfpj	L_GE_VERBE_AUXILIAIRE_PASSIF_PHR_PRINCIPALE_INDICATIF/KONJUNKTIF
Vfsj	L_GE_VERBE_AUXILIAIRE_PASSIF_PHR_SUBORDONNEE_INDICATIF/KONJUNKTIF
Vftj	L_GE_VERBE_AUXILIAIRE_PASSIF_PHR_INTERROG_TOTALE_INDICATIF/KONJUNKTIF
Vfwj	L_GE_VERBE_AUXILIAIRE_PASSIF_PHR_INTERROG_WH_INDICATIF/KONJUNKTIF
Vi-2	L_GE_VERBE_IMPERSONNEL_IMPERATIF_2E_PERSONNE_SG/PL
Vi-3	L_GE_VERBE_IMPERSONNEL_IMPERATIF_1E/3E_PERSONNE_PL
Vi-n	L_GE_VERBE_IMPERSONNEL_INFINITIF
Vi-r	L_GE_VERBE_IMPERSONNEL_PARTICIPE_PRESENT
Vi-s	L_GE_VERBE_IMPERSONNEL_PARTICIPE_PASSE
Vi-z	L_GE_VERBE_IMPERSONNEL_INFINITIF_AVEC_ZU
